"Datum","Transaktionsstatus","Transaktionstyp","Transaktionsnummer","Produktdetails","Artikelpreise gesamt","Gesamtsumme der Aktionsrabatte","Amazon-Gebühren","Andere","Summe (EUR)"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","028-1396180-0814767","Beko Beko-Strukturdicht 310ml weiß-struk...","6.94","0","-4.16","1.32","4.1"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","304-9044010-9094735","Tajima Bandmaß PIT Measure (1 m, selbstk...","6.88","0","-3.13","1.31","5.06"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","306-8963098-1835501","PIHER Lastenstange 40-60cm","28.75","0","-9.29","5.46","24.92"
"13.1.2023","Veröffentlicht","Commingling VAT","1410406933","Tajima PIT Measure - Metro a nastro da 1 m, con retro autoadesivo da fissare a superfici, per banchi da lavoro, larghezza 13 mm, colore bianco, acciaio giapponese, resistente alla corrosione) PIT10","0","0","0","1.46","1.46"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","306-4303449-4944317","Silky 270-33 Zubat Handsäge mit Scheide,...","56.21","-3.35","-14.84","14.03","52.05"
"13.1.2023","Veröffentlicht","Commingling VAT","1410406813","Tajima PIT Measure - Metro a nastro da 1 m, con retro autoadesivo da fissare a superfici, per banchi da lavoro, larghezza 13 mm, colore bianco, acciaio giapponese, resistente alla corrosione) PIT10","0","0","0","1.46","1.46"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-0654154-3553146","Tajima Bandmaß PIT Measure (1 m, selbstk...","7.71","-0.83","-3.26","2.29","5.91"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","028-0665822-7726754","Tajima Ersatzklingen für Cutter (Breite ...","14.39","0","-4.6","2.73","12.52"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","028-9700572-5321129","Tajima Japansäge Magnum 300 (Sägeblatt 3...","27.86","-2.88","-10.52","8.73","23.19"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","305-1702011-5894734","Tajima Japansäge Magnum 300 (Sägeblatt 3...","30.31","0","-10.83","5.76","25.24"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","304-9017154-4485157","Tajima Bandmaß PIT Measure (1 m, selbstk...","7.71","0","-6.5","5.46","6.67"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","305-2476274-7967566","Tajima Zugsäge "Japan Pull 300", 300 mm,...","22.33","0","-9.59","4.24","16.98"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","028-9702153-5938717","Tajima Ersatzklingen für Cutter (Breite ...","28.76","0","-9.18","5.46","25.04"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-4126614-3365132","SONAX Aktionsset KratzerEntferner Lack (...","10.46","-1.67","-4.96","3.66","7.49"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","305-5024954-5230750","Tajima DC561 DRIVER Cuttermesser/Cutter ...","11.38","0","-4.52","1","7.86"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","304-8096504-7105102","Stubai Schweizer Gertel mit Ledergriff 3...","24.33","0","-7.87","4.62","21.08"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","305-1609019-0265139","Silky 350-36 Professionelle BIGBOY Klapp...","63.92","-1.12","-16.03","13.26","60.03"
"13.1.2023","Veröffentlicht","Erstattung","304-8486694-0069938","Leinos 720 Naturlatexkleber 10,00 kg","-106.34","0","13.14","-20","-113.2"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-3045731-7841149","Fermit Kunststoff-Gewindedicht 100g Tube","11.75","0","-4.53","2.23","9.45"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","304-6726361-3818748","Tajima Extrastarke Cutterklinge (Ersatzk...","7.53","0","-2.71","1.43","6.25"
"13.1.2023","Veröffentlicht","Erstattung","305-8004581-5373937","BAHCO BELZER GMBH PC-10-DT Feinsäge Prof...","-20.06","0","2.48","-3.81","-21.39"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","306-0732839-0043555","BEKO TecLine Gleitgel Kabel/Kunststoff 5...","21.4","0","-9.47","4.06","15.99"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","304-9692967-4216347","SONAX Aktionsset KratzerEntferner Lack (...","10.46","0","-4.96","1.99","7.49"
"13.1.2023","Verzögert","Bezahlung der Bestellung","028-4739819-3158734","Leinos 280 Arbeitsplattenöl 0,25 l","15.55","0","-5.12","2.96","13.39"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","303-1850071-3658723","Tajima Ersatzklingen für Cutter (Breite ...","14.38","0","-4.59","2.73","12.52"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","303-3756155-0160329","Bildhauerklüpfel konisch Weißbuche 70mm","14.76","0","-5.6","2.8","11.96"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","304-4630185-8136312","TAJIMA Elastomer-Griff, zusammenklappbar...","24.24","0","-3.75","4.61","25.1"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","303-2436153-5801112","SONAX Aktionsset KratzerEntferner Lack (...","10.46","0","-4.96","1.99","7.49"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-7533157-6691505","OLFA LB 50 18mm 50 Klingen, Kunststoffbo...","27.24","-0.15","-7.95","5.33","24.47"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","305-2867032-0363526","Tajima Ersatzklingen Box à 10 Stück für ...","5.21","0","-3.52","0.99","2.68"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","306-6965736-2201905","Bildhauerklüpfel konisch Weißbuche 70mm","14.76","0","-5.6","2.8","11.96"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","304-5037333-2368362","SONAX Aktionsset KratzerEntferner Lack (...","10.46","0","-4.96","1.99","7.49"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","S02-5327928-6857549","Halder 3117s001 SIMPLEX-Schonhammer PLUS...","0","0","-5.02","0","-5.02"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","306-1116954-7182732","Estwing Camper's Axe.","82.43","0","-19.26","15.66","78.83"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","305-9726027-6954762","Fugenmeister,R-03t,Radien AA83-teilig in...","9.31","0","-3.65","1.77","7.43"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-8973781-0947513","pool fermit 9122 Pool Wärmepumpen- und K...","13.18","0","-6.72","2.5","8.96"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-8479002-0867529","OLFA Grafikermesser AK-4","14.87","0","-5.42","4.08","13.53"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","303-8527887-7141963","Fermit Schamottemörtel 1kg feuerfest Kle...","8.26","0","-5.65","1.57","4.18"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","304-2685789-9833165","SONAX Aktionsset KratzerEntferner Lack (...","10.46","0","-4.96","1.99","7.49"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","028-7398491-9616347","Tajima Ersatzklingen für Cutter (Breite ...","14.38","0","-4.59","2.73","12.52"
"13.1.2023","Veröffentlicht","Erstattung","302-1690717-5630763","FAMAG Spannvorrichtung für 1403-1406 Boh...","-61.05","0","7.55","-11.6","-65.1"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","303-1033073-8438714","SONAX Aktionsset KratzerEntferner Lack (...","10.46","0","-8.2","5.98","8.24"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-0373982-8226767","SONAX Aktionsset KratzerEntferner Lack (...","10.46","0","-4.97","2.09","7.58"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","303-6256028-9795536","Estwing BP-10 Goldpfanne aus schwarzem K...","13.47","0","-8.31","6.55","11.71"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","305-3747580-2488342","Fugenmeister,R-03t,Radien AA83-teilig in...","9.31","0","-3.65","1.77","7.43"
"13.1.2023","Veröffentlicht","Erstattung","305-9956841-0996302","Leinos 657 Lehmstreichputz Mediterran 10...","-82.15","0","10.17","-15.61","-87.59"
"13.1.2023","Veröffentlicht","Erstattung","302-5263777-5425968","Felo Schraubendreher Satz, 1-Komponenten...","-24.44","0","3.62","-10.39","-31.21"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","303-4140154-3195511","SONAX Aktionsset KratzerEntferner Lack (...","10.46","0","-7.05","4.48","7.89"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","305-4917944-8369150","Silbergleit Trockengleitmittel - Holzgle...","9.12","0","-3.85","1.73","7"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","028-5768662-2099531","beko Speed-Ex Der Abbeizer 750 ml 299 60...","18.58","0","-6.68","3.53","15.43"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","306-0752249-1709968","beko Speed-Ex Der Abbeizer 750 ml 299 60...","18.58","0","-6.68","3.53","15.43"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","303-8431468-2646765","Fre-Pro Bowl Clip - Duftspender/Lufterfr...","31.04","-3.35","-8.5","9.25","28.44"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","303-0207621-0601148","TecLine Zementschleierentferner 5 l Kani...","26.09","0","-11.04","4.96","20.01"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-7683674-8992307","Fugenmeister,R-03t,Radien AA83-teilig in...","9.31","0","-3.65","1.77","7.43"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","305-3439000-5785915","Fugenmeister,R-03t,Radien AA83-teilig in...","9.31","0","-3.65","1.77","7.43"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","305-5341246-9113160","Wekem WS-600-030 HTC-Tube 30 Gramm","6.95","0","-2.96","1.32","5.31"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","303-4715737-3383509","Tajima Ersatzklingen für Cutter (Breite ...","14.38","0","-4.59","2.73","12.52"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","304-5007916-5674739","beko TecLine Oxalsäure 3,5% 1000 ml Flas...","11.52","0","-6.17","2.3","7.65"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","028-3045321-5650769","OLFA rutschfestes Cuttermesser NOL-1 18m...","10.13","0","-4.28","1.93","7.78"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","306-6978346-7009167","SONAX Aktionsset KratzerEntferner Lack (...","10.46","0","-4.96","1.99","7.49"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","303-4198331-9845136","SONAX Aktionsset KratzerEntferner Lack (...","10.24","0","-4.93","2.05","7.36"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","028-6657542-0033109","SONAX Aktionsset KratzerEntferner Lack (...","10.46","0","-4.96","1.99","7.49"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","303-7415915-2859552","FugemMeister Ersatzklingen für Delta-Fug...","6.67","0","-2.91","1.27","5.03"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","306-7119605-2295526","Silbergleit Gleitmittel, 1000 ml","19.13","0","-7.33","3.63","15.43"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","304-1794684-2057958","Bildhauerklüpfel konisch Weißbuche 70mm","14.76","0","-5.6","2.8","11.96"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","306-3725662-2962755","SONAX Aktionsset KratzerEntferner Lack (...","10.46","0","-4.96","1.99","7.49"
"13.1.2023","Veröffentlicht","Commingling VAT","1410352573","Tajima Extrastarke Cutterklinge (Ersatzklinge) 22mm für Cutter DC690, DC680, DC610 - LB62H 10 stück","0","0","0","-1.93","-1.93"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","305-6569164-5356354","Holzhammer Normal Weißbuche runder Stiel...","12.18","0","-6.01","2.44","8.61"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","028-2311414-1524367","FAMAG 3533 Handsenker WS 16mm mit Holzhe...","10.1","0","-4.27","1.92","7.75"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","304-4074802-0077131","Stubai 3511 Stemmeisensatz Rotbuche 4-te...","52.89","0","-8.18","10.05","54.76"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-8696499-6313957","SONAX Aktionsset KratzerEntferner Lack (...","10.46","0","-4.96","1.99","7.49"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","306-2751190-3175559","Silky 270-33 Zubat Handsäge mit Scheide,...","56.21","0","-14.91","11.24","52.54"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-2039239-3679557","SONAX Aktionsset KratzerEntferner Lack (...","10.24","0","-4.92","1.94","7.26"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","306-2399356-2882755","Tajima Bandmaß PIT Measure (1 m, selbstk...","7.71","0","-3.27","1.54","5.98"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","028-3033115-7029958","Tajima Ersatzklingen für Cutter (Breite ...","28.76","-3.35","-9.18","8.81","25.04"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","303-5847469-6158747","Tajima Ersatzklingen für Cutter (Breite ...","14.74","0","-4.29","0","10.45"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","028-8591855-8083509","Tajima RAPID PULL Japansäge 265 mm + zus...","24.88","-1.68","-9.99","6.41","19.62"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","304-5934532-0544360","Silbergleit Trockengleitmittel - Holzgle...","11.58","0","-1.79","2.2","11.99"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","305-4446852-7805121","SONAX Aktionsset KratzerEntferner Lack (...","10.46","0","-4.96","1.99","7.49"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","306-4459621-1765963","Silbergleit 350 ml Trockengleitmittel fü...","14.06","0","-2.51","2.67","14.22"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-0739261-1998748","Klingenschärfer, Istor Duplex Swiss Shar...","62.1","0","-11.09","11.8","62.81"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-0302026-9185946","OLFA ABB 50 9mm 50 Stück Excel Black Kli...","16.32","0","-2.52","3.1","16.9"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","306-8060818-7435532","Cornat Silikon 100ml Tube, transparent, ...","9.39","0","-1.45","1.79","9.73"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-3307803-7433126","Wekem WS-600-030 HTC-Tube 30 Gramm","6.82","0","-2.93","1.29","5.18"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","303-9036878-7522767","Tajima Ersatzklingen für Cutter (Breite ...","14.39","0","-4.6","2.73","12.52"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","028-9328310-6913908","Wekem WK-8 Sekundenkleberentferner farbl...","10.8","0","-1.93","2.05","10.92"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","303-5060282-3913114","Heitmann Damen- u. Herren Lammfell-Hauss...","50.34","0","-7.79","9.56","52.11"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","305-8183767-3071510","Fugenmeister,R-03t,Radien AA83-teilig in...","9.31","0","-3.65","1.77","7.43"
"12.1.2023","Veröffentlicht","Bei Amazon gekaufte Versandetiketten","306-4459621-1765963","Fakturierung","-4.07","0","0","0","-4.07"
"12.1.2023","Veröffentlicht","Bei Amazon gekaufte Versandetiketten","304-5934532-0544360","Fakturierung","-4.07","0","0","0","-4.07"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","303-7956707-5257928","Tajima Ersatzklingen für Cutter (Breite ...","14.38","0","-4.59","2.73","12.52"
"12.1.2023","Veröffentlicht","Bei Amazon gekaufte Versandetiketten","302-0302026-9185946","Fakturierung","-4.07","0","0","0","-4.07"
"12.1.2023","Veröffentlicht","Bei Amazon gekaufte Versandetiketten","302-0739261-1998748","Fakturierung","-4.07","0","0","0","-4.07"
"12.1.2023","Veröffentlicht","Bei Amazon gekaufte Versandetiketten","306-8060818-7435532","Fakturierung","-4.07","0","0","0","-4.07"
"12.1.2023","Veröffentlicht","Bei Amazon gekaufte Versandetiketten","028-9328310-6913908","Fakturierung","-4.07","0","0","0","-4.07"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","306-7167890-1770757","Fermitex Pulver - chemischer Rohrreinige...","24.04","0","-13.25","4.56","15.35"
"12.1.2023","Veröffentlicht","Bei Amazon gekaufte Versandetiketten","303-5060282-3913114","Fakturierung","-4.07","0","0","0","-4.07"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-3230146-8322708","Fermit GmbH - Pasta graphit Nivo Zinn (5...","13.32","0","-5.43","0","7.89"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","306-6824217-7050750","Tajima Schlagschnurgerät Chalk-Rite Dura...","25.88","0","-7.09","4.92","23.71"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","303-4336330-3860304","OLFA Cuttermesser L5 18mm mit X-Design G...","43.08","0","-15.52","8.2","35.76"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","304-8435942-8849965","Fugenmeister,R-03t,Radien AA83-teilig in...","18.62","0","-7.3","3.54","14.86"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-0017551-6938752","Tajima TAJ-DFC560W DORA FIN Cuttermesser...","25.8","0","-9.68","4.9","21.02"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","304-2371796-1932321","Tajima Ersatzklingen für Cutter (Breite ...","14.37","0","-4.59","2.73","12.51"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","303-2328073-0414720","SONAX Aktionsset KratzerEntferner Lack (...","10.24","0","-4.92","1.94","7.26"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-5525204-8072344","Tajima Schlagschnurgerät Chalk-Rite Dura...","161.34","-1.69","-43.5","32.35","148.5"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","305-9549994-1059559","beko FoodLine Lebensmittel-Silicon 310 m...","13.32","0","-5.17","2.66","10.81"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","028-9297849-0041952","Tajima Extrastarke Cutterklinge (Ersatzk...","15.06","0","-5.42","2.86","12.5"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","303-1780602-0971537","FAMAG Holzspiralbohrer HSS-G lang 7x100x...","17","0","-4.72","3.4","15.68"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","S02-7682989-8928749","Stubai Hobelbankhaken 1 5x20x25 mm","0","0","-4.74","0","-4.74"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","304-7654500-4533100","Fugenmeister OFR-03 Radien optiform 3-te...","40.5","0","-16.58","7.7","31.62"
"12.1.2023","Verzögert","Bezahlung der Bestellung","302-0786513-9340313","Tajima Schaber 3 Klingen, Kurzstiel, 200...","19.29","0","-6.07","3.67","16.89"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","028-1798557-4181163","Stubai Schaftverlängerung 8x250 mm","11.87","0","-4.21","2.26","9.92"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-7604957-6463548","Tajima DC561 DRIVER Cuttermesser/Cutter ...","11.42","0","-3.98","2.17","9.61"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-8414020-9869168","Estwing #16-16 Pfanne mit Lanyard-Loch, ...","15.72","0","-6.06","2.99","12.65"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-6053990-6815526","SONAX Aktionsset KratzerEntferner Lack (...","10.46","0","-4.96","1.99","7.49"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","028-2958948-2865169","Sägeblatt Hayauchi 390","73.82","0","-11.42","14.02","76.42"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","305-8240335-1173967","ARBORTECH Contour Sander | Ø 50 mm Mini ...","66.34","0","-14.21","12.61","64.74"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","028-1453021-1175526","Tajima Schlagschnurgerät Chalk-Rite Dura...","26.92","-0.83","-7.25","5.94","24.78"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","303-5206261-5043507","SONAX Aktionsset KratzerEntferner Lack (...","10.46","0","-4.96","1.99","7.49"
"12.1.2023","Veröffentlicht","Commingling VAT","1410294933","Stehle HW HKS-Massiv Kreissägeblatt für Akku-Handkreissägen 136x1,5/1,0x20mm Z=24 Flachzahn mit Wechselzahn","0","0","0","-8.14","-8.14"
"12.1.2023","Veröffentlicht","Commingling VAT","1410294933","Stehle HW HKS-Massiv Kreissägeblatt für Akku-Handkreissägen 136x1,5/1,0x20mm Z=24 Flachzahn mit Wechselzahn","0","0","0","8.14","8.14"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-3476369-7631513","Tajima Ersatzklingen für Cutter (Breite ...","14.66","0","-4.64","2.79","12.81"
"12.1.2023","Veröffentlicht","Commingling VAT","1410285623","Tajima Extrastarke Cutterklinge (Ersatzklinge) 22mm für Cutter DC690, DC680, DC610 - LB62H 10 stück","0","0","0","-1.73","-1.73"
"12.1.2023","Veröffentlicht","Commingling VAT","1410285623","Tajima Extrastarke Cutterklinge (Ersatzklinge) 22mm für Cutter DC690, DC680, DC610 - LB62H 10 stück","0","0","0","1.43","1.43"
